,particulars,posting_date,cost_center,voucher_type,debit,credit,net_balance,Category
86,Net obligation for Equity F&O,2023-07-07,NSE-F&O - Z,Book Voucher,0.0,20740.150743,2492958.773784,Trades
96,Net obligation for Equity F&O,2023-07-10,NSE-F&O - Z,Book Voucher,32330.202138,0.0,1962367.471646,Trades
97,Span margin blocked for NSE F&O,2023-07-10,NSE-F&O - Z,Delivery Voucher,175236.0,0.0,1787131.471646,Trades
98,Exposure margin blocked for NSE F&O,2023-07-10,NSE-F&O - Z,Delivery Voucher,194095.5,0.0,1593035.971646,Trades
101,Span margin reversed for NSE F&O,2023-07-11,NSE-F&O - Z,Delivery Voucher,0.0,175236.0,2266479.351646,Trades
102,Exposure margin reversed for NSE F&O,2023-07-11,NSE-F&O - Z,Delivery Voucher,0.0,194095.5,2460574.851646,Trades
103,Net obligation for Equity F&O,2023-07-11,NSE-F&O - Z,Book Voucher,40.660371,0.0,2460534.191275,Trades
104,Span margin blocked for NSE F&O,2023-07-11,NSE-F&O - Z,Delivery Voucher,166426.0,0.0,2294108.191275,Trades
105,Exposure margin blocked for NSE F&O,2023-07-11,NSE-F&O - Z,Delivery Voucher,195008.5,0.0,2099099.691275,Trades
106,Span margin reversed for NSE F&O,2023-07-12,NSE-F&O - Z,Delivery Voucher,0.0,166426.0,2265525.691275,Trades
107,Exposure margin reversed for NSE F&O,2023-07-12,NSE-F&O - Z,Delivery Voucher,0.0,195008.5,2460534.191275,Trades
108,Net obligation for Equity F&O,2023-07-12,NSE-F&O - Z,Book Voucher,0.0,23012.078882,2483546.270157,Trades
109,Span margin blocked for NSE F&O,2023-07-12,NSE-F&O - Z,Delivery Voucher,347129.0,0.0,2136417.270157,Trades
110,Exposure margin blocked for NSE F&O,2023-07-12,NSE-F&O - Z,Delivery Voucher,194613.0,0.0,1941804.270157,Trades
111,Span margin reversed for NSE F&O,2023-07-13,NSE-F&O - Z,Delivery Voucher,0.0,347129.0,2288933.270157,Trades
112,Exposure margin reversed for NSE F&O,2023-07-13,NSE-F&O - Z,Delivery Voucher,0.0,194613.0,2483546.270157,Trades
113,Net obligation for Equity F&O,2023-07-13,NSE-F&O - Z,Book Voucher,68195.640717,0.0,2415350.62944,Trades
114,Span margin blocked for NSE F&O,2023-07-13,NSE-F&O - Z,Delivery Voucher,204877.0,0.0,2210473.62944,Trades
115,Exposure margin blocked for NSE F&O,2023-07-13,NSE-F&O - Z,Delivery Voucher,194748.0,0.0,2015725.62944,Trades
116,Span margin reversed for NSE F&O,2023-07-14,NSE-F&O - Z,Delivery Voucher,0.0,204877.0,2220602.62944,Trades
117,Exposure margin reversed for NSE F&O,2023-07-14,NSE-F&O - Z,Delivery Voucher,0.0,194748.0,2415350.62944,Trades
118,Net obligation for Equity F&O,2023-07-14,NSE-F&O - Z,Book Voucher,29595.537958,0.0,2385755.091482,Trades
119,Span margin blocked for NSE F&O,2023-07-14,NSE-F&O - Z,Delivery Voucher,197526.0,0.0,2188229.091482,Trades
120,Exposure margin blocked for NSE F&O,2023-07-14,NSE-F&O - Z,Delivery Voucher,195988.5,0.0,1992240.591482,Trades
121,Span margin reversed for NSE F&O,2023-07-17,NSE-F&O - Z,Delivery Voucher,0.0,197526.0,2189766.591482,Trades
122,Exposure margin reversed for NSE F&O,2023-07-17,NSE-F&O - Z,Delivery Voucher,0.0,195988.5,2385755.091482,Trades
123,Net obligation for Equity F&O,2023-07-17,NSE-F&O - Z,Book Voucher,0.0,194413.734127,2580168.825609,Trades
124,Span margin blocked for NSE F&O,2023-07-17,NSE-F&O - Z,Delivery Voucher,170719.0,0.0,2409449.825609,Trades
125,Exposure margin blocked for NSE F&O,2023-07-17,NSE-F&O - Z,Delivery Voucher,197212.0,0.0,2212237.825609,Trades
126,Span margin reversed for NSE F&O,2023-07-18,NSE-F&O - Z,Delivery Voucher,0.0,170719.0,2382956.825609,Trades
127,Exposure margin reversed for NSE F&O,2023-07-18,NSE-F&O - Z,Delivery Voucher,0.0,197212.0,2580168.825609,Trades
128,Net obligation for Equity F&O,2023-07-18,NSE-F&O - Z,Book Voucher,16984.043503,0.0,2563184.782106,Trades
129,Span margin blocked for NSE F&O,2023-07-18,NSE-F&O - Z,Delivery Voucher,163748.0,0.0,2399436.782106,Trades
130,Exposure margin blocked for NSE F&O,2023-07-18,NSE-F&O - Z,Delivery Voucher,197705.5,0.0,2201731.282106,Trades
131,Span margin reversed for NSE F&O,2023-07-19,NSE-F&O - Z,Delivery Voucher,0.0,163748.0,2365479.282106,Trades
132,Exposure margin reversed for NSE F&O,2023-07-19,NSE-F&O - Z,Delivery Voucher,0.0,197705.5,2563184.782106,Trades
133,Net obligation for Equity F&O,2023-07-19,NSE-F&O - Z,Book Voucher,1406.483405,0.0,2561778.298701,Trades
134,Span margin blocked for NSE F&O,2023-07-19,NSE-F&O - Z,Delivery Voucher,151061.0,0.0,2410717.298701,Trades
135,Exposure margin blocked for NSE F&O,2023-07-19,NSE-F&O - Z,Delivery Voucher,198471.0,0.0,2212246.298701,Trades
136,Span margin reversed for NSE F&O,2023-07-20,NSE-F&O - Z,Delivery Voucher,0.0,151061.0,2363307.298701,Trades
137,Exposure margin reversed for NSE F&O,2023-07-20,NSE-F&O - Z,Delivery Voucher,0.0,198471.0,2561778.298701,Trades
138,Net obligation for Equity F&O,2023-07-20,NSE-F&O - Z,Book Voucher,0.0,49958.23804,2611736.536741,Trades
139,Span margin blocked for NSE F&O,2023-07-20,NSE-F&O - Z,Delivery Voucher,126240.0,0.0,2485496.536741,Trades
140,Exposure margin blocked for NSE F&O,2023-07-20,NSE-F&O - Z,Delivery Voucher,199702.0,0.0,2285794.536741,Trades
141,Span margin reversed for NSE F&O,2023-07-21,NSE-F&O - Z,Delivery Voucher,0.0,126240.0,2412034.536741,Trades
142,Exposure margin reversed for NSE F&O,2023-07-21,NSE-F&O - Z,Delivery Voucher,0.0,199702.0,2611736.536741,Trades
143,Net obligation for Equity F&O,2023-07-21,NSE-F&O - Z,Book Voucher,32666.254399,0.0,2579070.282342,Trades
144,Net obligation for Equity F&O,2023-07-24,NSE-F&O - Z,Book Voucher,17629.052254,0.0,2561441.230088,Trades
145,Span margin blocked for NSE F&O,2023-07-24,NSE-F&O - Z,Delivery Voucher,186680.0,0.0,2374761.230088,Trades
146,Exposure margin blocked for NSE F&O,2023-07-24,NSE-F&O - Z,Delivery Voucher,196927.0,0.0,2177834.230088,Trades
147,Span margin reversed for NSE F&O,2023-07-25,NSE-F&O - Z,Delivery Voucher,0.0,186680.0,2364514.230088,Trades
148,Exposure margin reversed for NSE F&O,2023-07-25,NSE-F&O - Z,Delivery Voucher,0.0,196927.0,2561441.230088,Trades
149,Net obligation for Equity F&O,2023-07-25,NSE-F&O - Z,Book Voucher,20858.625422,0.0,2540582.604666,Trades
150,Span margin blocked for NSE F&O,2023-07-25,NSE-F&O - Z,Delivery Voucher,112840.0,0.0,2427742.604666,Trades
151,Exposure margin blocked for NSE F&O,2023-07-25,NSE-F&O - Z,Delivery Voucher,196911.5,0.0,2230831.104666,Trades
152,Span margin reversed for NSE F&O,2023-07-26,NSE-F&O - Z,Delivery Voucher,0.0,112840.0,2343671.104666,Trades
153,Exposure margin reversed for NSE F&O,2023-07-26,NSE-F&O - Z,Delivery Voucher,0.0,196911.5,2540582.604666,Trades
154,Net obligation for Equity F&O,2023-07-26,NSE-F&O - Z,Book Voucher,72329.624324,0.0,2468252.980342,Trades
155,Span margin blocked for NSE F&O,2023-07-26,NSE-F&O - Z,Delivery Voucher,69735.0,0.0,2398517.980342,Trades
156,Exposure margin blocked for NSE F&O,2023-07-26,NSE-F&O - Z,Delivery Voucher,197740.0,0.0,2200777.980342,Trades
157,Net settlement for Equity with settlement number: 2023141,2023-07-27,NSE-EQ - Z,Book Voucher,0.006746,0.0,2200777.973596,Trades
158,Span margin reversed for NSE F&O,2023-07-27,NSE-F&O - Z,Delivery Voucher,0.0,69735.0,2270512.973596,Trades
159,Exposure margin reversed for NSE F&O,2023-07-27,NSE-F&O - Z,Delivery Voucher,0.0,197740.0,2468252.973596,Trades
160,Net obligation for Equity F&O,2023-07-27,NSE-F&O - Z,Book Voucher,32035.911832,0.0,2436217.061764,Trades
161,Span margin blocked for NSE F&O,2023-07-27,NSE-F&O - Z,Delivery Voucher,247659.0,0.0,2188558.061764,Trades
162,Exposure margin blocked for NSE F&O,2023-07-27,NSE-F&O - Z,Delivery Voucher,198114.0,0.0,1990444.061764,Trades
163,Span margin reversed for NSE F&O,2023-07-28,NSE-F&O - Z,Delivery Voucher,0.0,247659.0,2238103.061764,Trades
164,Exposure margin reversed for NSE F&O,2023-07-28,NSE-F&O - Z,Delivery Voucher,0.0,198114.0,2436217.061764,Trades
165,Net obligation for Equity F&O,2023-07-28,NSE-F&O - Z,Book Voucher,1001.300049,0.0,2435215.761715,Trades
166,Span margin blocked for NSE F&O,2023-07-28,NSE-F&O - Z,Delivery Voucher,194373.0,0.0,2240842.761715,Trades
167,Exposure margin blocked for NSE F&O,2023-07-28,NSE-F&O - Z,Delivery Voucher,197518.0,0.0,2043324.761715,Trades
170,Span margin reversed for NSE F&O,2023-07-31,NSE-F&O - Z,Delivery Voucher,0.0,194373.0,2233697.762315,Trades
171,Exposure margin reversed for NSE F&O,2023-07-31,NSE-F&O - Z,Delivery Voucher,0.0,197518.0,2431215.762315,Trades
172,Net obligation for Equity F&O,2023-07-31,NSE-F&O - Z,Book Voucher,21583.885398,0.0,2409631.876917,Trades
173,Span margin blocked for NSE F&O,2023-07-31,NSE-F&O - Z,Delivery Voucher,176737.0,0.0,2232894.876917,Trades
174,Exposure margin blocked for NSE F&O,2023-07-31,NSE-F&O - Z,Delivery Voucher,198439.5,0.0,2034455.376917,Trades
175,Span margin reversed for NSE F&O,2023-08-01,NSE-F&O - Z,Delivery Voucher,0.0,176737.0,2211192.376917,Trades
176,Exposure margin reversed for NSE F&O,2023-08-01,NSE-F&O - Z,Delivery Voucher,0.0,198439.5,2409631.876917,Trades
177,Net obligation for Equity F&O,2023-08-01,NSE-F&O - Z,Book Voucher,29443.670343,0.0,2380188.206574,Trades
178,Span margin blocked for NSE F&O,2023-08-01,NSE-F&O - Z,Delivery Voucher,164067.0,0.0,2216121.206574,Trades
179,Exposure margin blocked for NSE F&O,2023-08-01,NSE-F&O - Z,Delivery Voucher,198125.5,0.0,2017995.706574,Trades
180,Span margin reversed for NSE F&O,2023-08-02,NSE-F&O - Z,Delivery Voucher,0.0,164067.0,2182062.706574,Trades
181,Exposure margin reversed for NSE F&O,2023-08-02,NSE-F&O - Z,Delivery Voucher,0.0,198125.5,2380188.206574,Trades
182,Net obligation for Equity F&O,2023-08-02,NSE-F&O - Z,Book Voucher,99462.95916,0.0,2280725.247414,Trades
183,Span margin blocked for NSE F&O,2023-08-02,NSE-F&O - Z,Delivery Voucher,916635.0,0.0,1364090.247414,Trades
184,Exposure margin blocked for NSE F&O,2023-08-02,NSE-F&O - Z,Delivery Voucher,195965.5,0.0,1168124.747414,Trades
185,Span margin reversed for NSE F&O,2023-08-03,NSE-F&O - Z,Delivery Voucher,0.0,916635.0,2084759.747414,Trades
186,Exposure margin reversed for NSE F&O,2023-08-03,NSE-F&O - Z,Delivery Voucher,0.0,195965.5,2280725.247414,Trades
187,Net obligation for Equity F&O,2023-08-03,NSE-F&O - Z,Book Voucher,0.0,4041.333128,2284766.580542,Trades
188,Span margin blocked for NSE F&O,2023-08-03,NSE-F&O - Z,Delivery Voucher,277567.0,0.0,2007199.580542,Trades
189,Exposure margin blocked for NSE F&O,2023-08-03,NSE-F&O - Z,Delivery Voucher,194681.5,0.0,1812518.080542,Trades
190,Span margin reversed for NSE F&O,2023-08-04,NSE-F&O - Z,Delivery Voucher,0.0,277567.0,2090085.080542,Trades
191,Exposure margin reversed for NSE F&O,2023-08-04,NSE-F&O - Z,Delivery Voucher,0.0,194681.5,2284766.580542,Trades
192,Net obligation for Equity F&O,2023-08-04,NSE-F&O - Z,Book Voucher,61368.275799,0.0,2223398.304743,Trades
193,Net settlement for Equity with settlement number: 2023148,2023-08-07,NSE-EQ - Z,Book Voucher,1.337266,0.0,2223396.967477,Trades
194,Net obligation for Equity F&O,2023-08-07,NSE-F&O - Z,Book Voucher,24740.52871,0.0,2198656.438767,Trades
195,Span margin blocked for NSE F&O,2023-08-07,NSE-F&O - Z,Delivery Voucher,171819.0,0.0,2026837.438767,Trades
196,Exposure margin blocked for NSE F&O,2023-08-07,NSE-F&O - Z,Delivery Voucher,196610.5,0.0,1830226.938767,Trades
197,Net settlement for Equity with settlement number: 2023149,2023-08-08,NSE-EQ - Z,Book Voucher,334667.459759,0.0,1495559.479008,Trades
198,Span margin reversed for NSE F&O,2023-08-08,NSE-F&O - Z,Delivery Voucher,0.0,171819.0,1667378.479008,Trades
199,Exposure margin reversed for NSE F&O,2023-08-08,NSE-F&O - Z,Delivery Voucher,0.0,196610.5,1863988.979008,Trades
200,Net obligation for Equity F&O,2023-08-08,NSE-F&O - Z,Book Voucher,114234.294816,0.0,1749754.684192,Trades
201,Span margin blocked for NSE F&O,2023-08-08,NSE-F&O - Z,Delivery Voucher,27237.0,0.0,1722517.684192,Trades
202,Exposure margin blocked for NSE F&O,2023-08-08,NSE-F&O - Z,Delivery Voucher,196112.5,0.0,1526405.184192,Trades
204,Net settlement for Equity with settlement number: 2023150,2023-08-09,NSE-EQ - Z,Book Voucher,0.0,95750.1034,1622139.357592,Trades
205,Span margin reversed for NSE F&O,2023-08-09,NSE-F&O - Z,Delivery Voucher,0.0,27237.0,1649376.357592,Trades
206,Exposure margin reversed for NSE F&O,2023-08-09,NSE-F&O - Z,Delivery Voucher,0.0,196112.5,1845488.857592,Trades
207,Net obligation for Equity F&O,2023-08-09,NSE-F&O - Z,Book Voucher,0.0,187830.913531,2033319.771123,Trades
208,Span margin blocked for NSE F&O,2023-08-09,NSE-F&O - Z,Delivery Voucher,157961.0,0.0,1875358.771123,Trades
209,Exposure margin blocked for NSE F&O,2023-08-09,NSE-F&O - Z,Delivery Voucher,196896.0,0.0,1678462.771123,Trades
211,Net settlement for Equity with settlement number: 2023151,2023-08-10,NSE-EQ - Z,Book Voucher,115665.904992,0.0,1562780.936131,Trades
212,Span margin reversed for NSE F&O,2023-08-10,NSE-F&O - Z,Delivery Voucher,0.0,157961.0,1720741.936131,Trades
213,Exposure margin reversed for NSE F&O,2023-08-10,NSE-F&O - Z,Delivery Voucher,0.0,196896.0,1917637.936131,Trades
214,Net obligation for Equity F&O,2023-08-10,NSE-F&O - Z,Book Voucher,6083.866291,0.0,1911554.06984,Trades
215,Span margin blocked for NSE F&O,2023-08-10,NSE-F&O - Z,Delivery Voucher,220864.0,0.0,1690690.06984,Trades
216,Exposure margin blocked for NSE F&O,2023-08-10,NSE-F&O - Z,Delivery Voucher,195968.0,0.0,1494722.06984,Trades
219,Net settlement for Equity with settlement number: 2023152,2023-08-11,NSE-EQ - Z,Book Voucher,0.0,29460.863256,1524151.073096,Trades
220,Span margin reversed for NSE F&O,2023-08-11,NSE-F&O - Z,Delivery Voucher,0.0,220864.0,1745015.073096,Trades
221,Exposure margin reversed for NSE F&O,2023-08-11,NSE-F&O - Z,Delivery Voucher,0.0,195968.0,1940983.073096,Trades
222,Net obligation for Equity F&O,2023-08-11,NSE-F&O - Z,Book Voucher,0.0,21991.039362,1962974.112458,Trades
230,Net settlement for Equity with settlement number: 2023153,2023-08-14,NSE-EQ - Z,Book Voucher,0.0,114789.230942,2077579.2634,Trades
231,Net obligation for Equity F&O,2023-08-14,NSE-F&O - Z,Book Voucher,31364.63742,0.0,2046214.62598,Trades
232,Span margin blocked for NSE F&O,2023-08-14,NSE-F&O - Z,Delivery Voucher,187840.0,0.0,1858374.62598,Trades
233,Exposure margin blocked for NSE F&O,2023-08-14,NSE-F&O - Z,Delivery Voucher,175305.15,0.0,1683069.47598,Trades
234,Span margin reversed for NSE F&O,2023-08-16,NSE-F&O - Z,Delivery Voucher,0.0,187840.0,1870909.47598,Trades
235,Exposure margin reversed for NSE F&O,2023-08-16,NSE-F&O - Z,Delivery Voucher,0.0,175305.15,2046214.62598,Trades
236,Net settlement for Equity with settlement number: 2023154,2023-08-16,NSE-EQ - Z,Book Voucher,192277.39553,0.0,1853937.23045,Trades
237,Net obligation for Equity F&O,2023-08-16,NSE-F&O - Z,Book Voucher,0.0,45298.360379,1899235.590829,Trades
238,Span margin blocked for NSE F&O,2023-08-16,NSE-F&O - Z,Delivery Voucher,162164.0,0.0,1737071.590829,Trades
239,Exposure margin blocked for NSE F&O,2023-08-16,NSE-F&O - Z,Delivery Voucher,194845.5,0.0,1542226.090829,Trades
240,Net settlement for Equity with settlement number: 2023155,2023-08-17,NSE-EQ - Z,Book Voucher,101548.672699,0.0,1440677.41813,Trades
241,Span margin reversed for NSE F&O,2023-08-17,NSE-F&O - Z,Delivery Voucher,0.0,162164.0,1602841.41813,Trades
242,Exposure margin reversed for NSE F&O,2023-08-17,NSE-F&O - Z,Delivery Voucher,0.0,194845.5,1797686.91813,Trades
243,Net obligation for Equity F&O,2023-08-17,NSE-F&O - Z,Book Voucher,39527.959748,0.0,1758158.958382,Trades
244,Span margin blocked for NSE F&O,2023-08-17,NSE-F&O - Z,Delivery Voucher,154809.5,0.0,1603349.458382,Trades
245,Exposure margin blocked for NSE F&O,2023-08-17,NSE-F&O - Z,Delivery Voucher,174545.1,0.0,1428804.358382,Trades
248,Net settlement for Equity with settlement number: 2023156,2023-08-18,NSE-EQ - Z,Book Voucher,0.0,39219.396992,1467991.895374,Trades
249,Span margin reversed for NSE F&O,2023-08-18,NSE-F&O - Z,Delivery Voucher,0.0,154809.5,1622801.395374,Trades
250,Exposure margin reversed for NSE F&O,2023-08-18,NSE-F&O - Z,Delivery Voucher,0.0,174545.1,1797346.495374,Trades
251,Net obligation for Equity F&O,2023-08-18,NSE-F&O - Z,Book Voucher,0.0,31737.68787,1829084.183244,Trades
253,Net obligation for Equity F&O,2023-08-21,NSE-F&O - Z,Book Voucher,0.0,29595.905167,1858664.158411,Trades
254,Net settlement for Equity with settlement number: 2023157,2023-08-21,NSE-EQ - Z,Book Voucher,0.0,18478.988446,1877143.146857,Trades
255,Span margin blocked for NSE F&O,2023-08-21,NSE-F&O - Z,Delivery Voucher,133544.0,0.0,1743599.146857,Trades
256,Exposure margin blocked for NSE F&O,2023-08-21,NSE-F&O - Z,Delivery Voucher,174595.95,0.0,1569003.196857,Trades
257,Span margin reversed for NSE F&O,2023-08-22,NSE-F&O - Z,Delivery Voucher,0.0,133544.0,1702547.196857,Trades
258,Exposure margin reversed for NSE F&O,2023-08-22,NSE-F&O - Z,Delivery Voucher,0.0,174595.95,1877143.146857,Trades
259,Net obligation for Equity F&O,2023-08-22,NSE-F&O - Z,Book Voucher,22137.388153,0.0,1855005.758704,Trades
260,Span margin blocked for NSE F&O,2023-08-22,NSE-F&O - Z,Delivery Voucher,145271.0,0.0,1709734.758704,Trades
261,Exposure margin blocked for NSE F&O,2023-08-22,NSE-F&O - Z,Delivery Voucher,174476.7,0.0,1535258.058704,Trades
262,Span margin reversed for NSE F&O,2023-08-23,NSE-F&O - Z,Delivery Voucher,0.0,145271.0,1680529.058704,Trades
263,Exposure margin reversed for NSE F&O,2023-08-23,NSE-F&O - Z,Delivery Voucher,0.0,174476.7,1855005.758704,Trades
264,Net obligation for Equity F&O,2023-08-23,NSE-F&O - Z,Book Voucher,0.0,150577.708625,2005583.467329,Trades
265,Span margin blocked for NSE F&O,2023-08-23,NSE-F&O - Z,Delivery Voucher,164506.0,0.0,1841077.467329,Trades
266,Exposure margin blocked for NSE F&O,2023-08-23,NSE-F&O - Z,Delivery Voucher,213739.9,0.0,1627337.567329,Trades
267,Net settlement for Equity with settlement number: 2023159,2023-08-23,NSE-EQ - Z,Book Voucher,0.056135,0.0,1627337.511194,Trades
268,Span margin reversed for NSE F&O,2023-08-24,NSE-F&O - Z,Delivery Voucher,0.0,164506.0,1791843.511194,Trades
269,Exposure margin reversed for NSE F&O,2023-08-24,NSE-F&O - Z,Delivery Voucher,0.0,213739.9,2005583.411194,Trades
270,Net obligation for Equity F&O,2023-08-24,NSE-F&O - Z,Book Voucher,126915.581213,0.0,1878667.829981,Trades
271,Span margin blocked for NSE F&O,2023-08-24,NSE-F&O - Z,Delivery Voucher,119790.5,0.0,1758877.329981,Trades
272,Exposure margin blocked for NSE F&O,2023-08-24,NSE-F&O - Z,Delivery Voucher,213351.6,0.0,1545525.729981,Trades
273,Span margin reversed for NSE F&O,2023-08-25,NSE-F&O - Z,Delivery Voucher,0.0,119790.5,1665316.229981,Trades
274,Exposure margin reversed for NSE F&O,2023-08-25,NSE-F&O - Z,Delivery Voucher,0.0,213351.6,1878667.829981,Trades
275,Net obligation for Equity F&O,2023-08-25,NSE-F&O - Z,Book Voucher,16898.881129,0.0,1861768.948852,Trades
276,Net obligation for Equity F&O,2023-08-28,NSE-F&O - Z,Book Voucher,0.0,13176.131173,1874945.080025,Trades
277,Span margin blocked for NSE F&O,2023-08-28,NSE-F&O - Z,Delivery Voucher,106381.5,0.0,1768563.580025,Trades
278,Exposure margin blocked for NSE F&O,2023-08-28,NSE-F&O - Z,Delivery Voucher,212534.3,0.0,1556029.280025,Trades
279,Span margin reversed for NSE F&O,2023-08-29,NSE-F&O - Z,Delivery Voucher,0.0,106381.5,1662410.780025,Trades
280,Exposure margin reversed for NSE F&O,2023-08-29,NSE-F&O - Z,Delivery Voucher,0.0,212534.3,1874945.080025,Trades
